   82/1999     2.21G   0.02432   0.01437  0.003246   0.04193        18       640    0.9934    0.9964    0.9954     0.786   0.01789  0.009075  0.002048
   83/1999     2.21G   0.02742   0.01535  0.003414   0.04618        17       640     0.986    0.9725    0.9954    0.7737   0.01991  0.008888  0.002113
   84/1999     2.21G   0.02561   0.01407  0.003406   0.04309        23       640    0.9654    0.9999    0.9954    0.7851   0.01936  0.009028  0.002067
   85/1999     2.21G   0.02406    0.0136  0.003311   0.04097        22       640     0.986         1    0.9954    0.7908   0.01829  0.008984  0.002243
   86/1999     2.21G   0.02399   0.01305  0.003199   0.04024         3       640    0.9794    0.9721    0.9954    0.7774   0.01888  0.009068  0.002125
   87/1999     2.21G    0.0255   0.01357  0.003328    0.0424         5       640    0.9911    0.9591    0.9599    0.7571   0.01908  0.009046  0.001959
   88/1999     2.21G   0.02284    0.0137   0.00295   0.03949         2       640     0.992    0.9606    0.9863    0.7737   0.01796  0.008685  0.001979
   89/1999     2.21G   0.02258   0.01384  0.002867   0.03929         5       640    0.9918    0.9584    0.9863    0.7721   0.01918  0.008676  0.001918
   90/1999     2.21G   0.02428   0.01294  0.003307   0.04052         6       640    0.9923    0.9595    0.9863    0.7886   0.01837  0.008708  0.001816
   91/1999     2.21G   0.02434   0.01345  0.003316   0.04111         4       640    0.9732    0.9837    0.9954    0.7583   0.02088  0.009036  0.001963
   92/1999     2.21G   0.02448   0.01413  0.003077   0.04169         4       640    0.9669    0.9839    0.9954    0.7778     0.019  0.008834  0.002292
   93/1999     2.21G    0.0242   0.01306  0.003098   0.04035         6       640     0.956         1    0.9955    0.7857    0.0187  0.008707  0.001976
   94/1999     2.21G   0.02568   0.01627  0.002637   0.04458        30       640    0.9776         1    0.9955     0.772   0.01943   0.00872  0.001967
   95/1999     2.21G   0.02509   0.01509  0.003062   0.04324         9       640    0.9915    0.9563    0.9863    0.7851   0.01899  0.008731  0.001918
   96/1999     2.21G   0.02325   0.01297  0.002753   0.03897         6       640    0.9531    0.9999    0.9863    0.7899   0.01774  0.008636  0.001894
   97/1999     2.21G   0.02303   0.01413  0.002761   0.03991        10       640    0.9487    0.9999    0.9862    0.7819   0.01774   0.00832  0.001847
   98/1999     2.21G   0.02269   0.01301  0.002468   0.03816         6       640    0.9958     0.963    0.9863    0.7837   0.01806  0.008297  0.001782
   99/1999     2.21G   0.02359   0.01261  0.002283   0.03848         3       640    0.9842    0.9919    0.9954    0.8059   0.01726  0.008303  0.002189
  100/1999     2.21G    0.0243   0.01379  0.003038   0.04113        14       640    0.9556    0.9999    0.9863    0.7779   0.01719  0.008551  0.001949
  101/1999     2.21G   0.02174   0.01262  0.002651   0.03701         3       640    0.9968    0.9565    0.9862    0.7933   0.01827  0.008561  0.001777
  102/1999     2.21G   0.02216   0.01407  0.002515   0.03875        16       640    0.9471     0.963    0.9678    0.7787   0.01881  0.008768  0.001804
  103/1999     2.21G   0.02166   0.01329  0.002768   0.03772         4       640    0.9681     0.996    0.9954    0.8052    0.0169  0.008338  0.002564
  104/1999     2.21G   0.02279   0.01391  0.002505   0.03921         5       640     0.986    0.9979    0.9955    0.7911   0.01724   0.00832  0.001907
  105/1999     2.21G   0.02162   0.01324  0.002295   0.03715        12       640    0.9725    0.9562    0.9863    0.7849   0.01705  0.008461  0.001899
  106/1999     2.21G   0.02159   0.01308  0.002226   0.03689         5       640    0.9849    0.9505    0.9843    0.7868   0.01861  0.008582  0.002585
  107/1999     2.21G    0.0229   0.01255  0.002479   0.03794         1       640    0.9416         1    0.9863    0.7867   0.01746  0.008566  0.002022
  108/1999     2.21G   0.02197   0.01246  0.002181   0.03661         5       640    0.9561         1    0.9863    0.7836   0.01721  0.008552  0.001938
  109/1999     2.21G    0.0226   0.01418  0.002306   0.03909         4       640    0.9974    0.9531    0.9863    0.7971   0.01713  0.008574  0.001926
  110/1999     2.21G   0.02372   0.01281  0.003338   0.03987        13       640     0.996    0.9696    0.9954    0.7864   0.01796  0.009037  0.001713
  111/1999     2.21G   0.02229   0.01388  0.002349   0.03852        10       640    0.9787    0.9999    0.9955    0.7819   0.01874  0.008432  0.001639
  112/1999     2.21G   0.02391   0.01346    0.0026   0.03997         5       640    0.9932     0.973    0.9954    0.7933    0.0185  0.008649  0.001803
  113/1999     2.21G   0.02255   0.01264  0.002608    0.0378         1       640    0.9756    0.9922    0.9938    0.7843   0.01819   0.00853  0.002331
  114/1999     2.21G   0.02194   0.01446  0.002526   0.03893        34       640     0.956    0.9969    0.9863    0.7928   0.01701  0.008551  0.001786
  115/1999     2.21G    0.0224   0.01268  0.002551   0.03764         8       640    0.9934    0.9675    0.9954    0.8124   0.01698  0.008278  0.001626
